ID,WESBROOK,TOTLGIVE,INDUPDT,GRADYR1,FACULTY1,DEPT1,MAJOR1,PARENT,CHILD,SPOUSE,SEX,MARITAL,EA,FACSTAFF,ATHLTCS,BIGBLOCK,OTHERACT,FRSTYEAR,MOV_DWEL,HH_1PER,HH_2PER,HH_3PER,HH_45PER,AVE_INC,DWEL_VAL,PROV,CNDN_PCT,ENG_PCT,OWN_PCT,SD_INC
88,Y,24728,10/02/1995,1960,CO,CO,NA,Y,Y,Y,M,M,59030052,N,Y,N,N,1960,0,0.1690140845,0.2816901408,0.1126760563,0.323943662,147196,1153369,BC,0.775,0.6736401674,0.7857142857,529293.8359
152,Y,23500,07/21/1997,1988,PO,PO,NA,N,N,Y,M,M,59030113,N,N,N,N,1988,0,0.0666666667,0.2666666667,0.2,0.2333333333,151728,1667488,BC,0.8596491228,0.8070175439,0.8709677419,215856.35923
157,Y,3000,08/22/1994,1949,AP,AP,CIVL,Y,N,Y,M,M,59030201,N,Y,N,Y,1949,0,0.3898305085,0.3728813559,0.1016949153,0.0677966102,162558,1153646,BC,0.9224806202,0.8217054264,0.2807017544,919876.36333
158,Y,7600,12/21/1996,NA,NA,NA,NA,N,N,Y,M,M,59028017,N,N,N,N,NA,0,0.5647058824,0.3176470588,0.0705882353,0.0470588235,45609,232647,BC,0.8,0.7777777778,0.3647058824,83574.130447
159,Y,20000,05/07/1997,1958,LA,LA,NA,Y,Y,Y,M,M,59030052,N,N,N,N,1958,0,0.1690140845,0.2816901408,0.1126760563,0.323943662,147196,1153369,BC,0.775,0.6736401674,0.7857142857,529293.8359
160,Y,7829,04/27/1993,NA,NA,NA,NA,Y,N,N,M,W,59030056,N,N,N,N,NA,0,0.5875,0.325,0.05,0.0375,44348,667492,BC,0.8682170543,0.8384615385,0.1975308642,64815.309997
169,Y,2476,12/08/1994,NA,NA,NA,NA,N,N,Y,M,M,59028160,N,N,N,N,NA,0,0.0869565217,0.3188405797,0.1449275362,0.3913043478,152304,1148184,BC,0.8596491228,0.850877193,0.8571428571,317544.10642
206,Y,5000,07/21/1997,1993,PO,PO,NA,Y,Y,Y,M,M,59002613,N,N,N,N,1993,0,0.1428571429,0.6428571429,0.2142857143,0,NA,1090805,BC,0.9545454545,0.9545454545,0.75,NA
209,Y,13611,07/17/1992,1937,AR,AR,NA,Y,Y,Y,M,M,59030053,N,N,N,N,1937,0,0.0303030303,0.196969697,0.1818181818,0.5,181812,1074646,BC,0.8458498024,0.7283464567,0.9117647059,408204.65762
218,Y,6858,09/22/1997,1990,PO,PO,NA,Y,N,Y,M,M,59030202,N,N,N,N,1949,0,0.1754385965,0.2456140351,0.0877192982,0.4035087719,118694,1117838,BC,0.8704663212,0.725388601,0.7457627119,465818.47226
231,Y,16445,07/18/1997,1958,CO,CO,NA,Y,N,Y,M,M,59017351,N,N,N,N,1958,0,0,0.3846153846,0.2307692308,0.2307692308,NA,350112,BC,1,1,0.8571428571,NA
238,Y,2700,01/09/1995,NA,NA,NA,NA,Y,N,Y,M,M,59030054,N,N,N,N,NA,0,0.1095890411,0.2328767123,0.1917808219,0.3561643836,163809,906976,BC,0.8291666667,0.7291666667,0.9428571429,322735.08882
277,N,195,03/29/1994,1971,AP,AP,GEOE,N,N,N,M,NA,60001108,N,N,N,N,1971,0,0.1384615385,0.2307692308,0.2153846154,0.3846153846,80081,175934,NT,0.9701492537,0.9353233831,1,98531.853124
308,Y,1615,04/14/1997,1970,LA,LA,NA,N,N,N,M,M,59016260,N,N,N,N,1967,0,0.0757575758,0.2727272727,0.2424242424,0.3636363636,74881,357092,BC,0.8935185185,0.9351851852,0.7611940299,86573.21468
328,Y,1645,02/17/1997,1960,LA,LA,NA,N,N,Y,M,M,59024605,N,Y,N,Y,1959,0,0.0985915493,0.3661971831,0.1690140845,0.338028169,85549,349930,BC,0.971563981,0.9526066351,0.9444444444,100330.6876
418,N,1375,01/14/1998,1964,FR,FR,NA,N,N,Y,M,M,59030167,N,N,N,N,1964,0,0.4615384615,0.3230769231,0.1076923077,0.0769230769,60423,614537,BC,0.7906976744,0.6279069767,0.1666666667,100360.51975
422,Y,3132,02/14/1995,1962,LA,LA,NA,N,N,N,M,NA,59031318,N,Y,N,N,1961,0,0.1014492754,0.3333333333,0.1304347826,0.3623188406,143404,1030786,BC,0.8820754717,0.9339622642,0.8823529412,291872.33843
457,N,1100,02/17/1993,1965,CO,CO,NA,N,N,Y,M,M,59016304,N,N,N,N,1965,0,0.0823529412,0.3058823529,0.2,0.3647058824,101658,512151,BC,0.9176029963,0.8764044944,0.9058823529,168459.87059
654,N,155,10/07/1996,1974,GR,AR,SOWK,N,N,Y,F,M,59028170,N,N,N,N,1972,0,0.3913043478,0.3913043478,0.1304347826,0.0869565217,61969,426413,BC,0.9562043796,0.9635036496,0.5633802817,92793.103192
672,N,198,10/31/1996,1972,ME,ME,NA,N,N,N,F,NA,59028258,N,N,N,N,1968,0,0.5625,0.375,0.0416666667,0.0208333333,45646,236297,BC,0.9078947368,0.8947368421,0.3958333333,82949.846896
699,Y,7400,10/31/1996,1971,ME,ME,NA,N,N,Y,M,M,59014211,N,N,N,N,1968,0,0.5714285714,0.3116883117,0.038961039,0.0519480519,31894,204265,BC,0.7596899225,0.8139534884,0.3766233766,55868.625184
720,Y,1400,10/30/1996,1976,ME,ME,NA,N,N,N,M,NA,59017504,N,N,N,N,1976,0,0.2682926829,0.3536585366,0.1829268293,0.1707317073,54335,229502,BC,0.9514563107,1,0.619047619,91464.282537
905,Y,2970,10/30/1996,1975,GR,AR,HIST,N,N,N,F,NA,59031317,N,N,N,N,1948,0,0.09375,0.265625,0.234375,0.375,120815,659350,BC,0.8578680203,0.8324873096,0.875,233141.39161
992,Y,13568,01/26/1996,1956,AR,AR,ANTH,Y,N,N,M,NA,59028170,Y,N,N,Y,1956,0,0.3913043478,0.3913043478,0.1304347826,0.0869565217,61969,426413,BC,0.9562043796,0.9635036496,0.5633802817,92793.103192
1004,Y,6924,06/09/1989,1988,GR,LA,NA,N,N,N,M,NA,59028161,N,N,N,N,1957,0,0.1756756757,0.3378378378,0.1891891892,0.2702702703,121662,790594,BC,0.9323671498,0.9323671498,0.6891891892,230555.31336
1133,N,355,08/27/1997,1971,AP,AP,ELEC,N,N,N,M,NA,59016266,N,N,N,N,1971,0,0.2151898734,0.3924050633,0.1518987342,0.1772151899,67845,366549,BC,0.9009433962,0.9431279621,0.7594936709,100720
1222,N,85,01/27/1994,1967,AP,AP,ELEC,N,N,N,M,NA,35050154,N,N,N,N,1967,0,0.0714285714,0.2380952381,0.2380952381,0.4166666667,90225,207110,ON,0.9890909091,0.8472727273,0.9761904762,85967.935883
1287,Y,1326,09/12/1995,1962,AR,AR,GEOG,N,N,Y,M,M,59002516,N,Y,N,Y,1962,0,0.1805555556,0.3611111111,0.1805555556,0.2777777778,78363,382937,BC,0.9090909091,0.9191919192,0.8648648649,111045.87219
1302,Y,3485,02/29/1996,1962,CO,CO,NA,N,N,Y,M,M,59005011,N,N,N,Y,1962,0,0.1971830986,0.3521126761,0.1971830986,0.2253521127,70794,361646,BC,0.962962963,0.9894179894,0.875,117143.41364
1428,N,2140,11/06/1997,1961,FR,FR,NA,Y,N,Y,M,M,59032206,N,N,N,N,1961,0,0.3174603175,0.3333333333,0.126984127,0.2222222222,74534,392493,BC,0.9182389937,0.9683544304,0.7692307692,118586.58145
1539,Y,8525,08/27/1996,1959,LA,LA,NA,N,N,Y,M,M,59028109,N,N,N,Y,1958,0,0.5882352941,0.3235294118,0.0588235294,0.0294117647,62644,462527,BC,0.9230769231,0.9615384615,0.1764705882,116203.13834
